Badu 八堵 - Sankeng 三坑 - Keelung 基隆
Qidu 七堵
Baifu 百福
Wudu 五堵
Xizhi 汐止
Xike 汐科
Nangang 南港
Songshan 松山
Taipei 臺北
Wanhua 萬華
Banqiao 板橋
Fuzhou 浮洲
Shulin 樹林
South Shulin 南樹林
Shanjia 山佳
Yingge 鶯歌
Taoyuan 桃園
Neili 內壢
Zhongli 中壢
Puxin 埔心
Yangmei 楊梅
Fugang 富岡
BaiHwu 北湖
Hukou 湖口
Xinfeng 新豐
Zhubei 竹北
North Hsinchu 北新竹 - Qianjia 千甲 - Xinzhuang 新莊 (- Liujia 六家) - Zhuzhong 竹中 - Shangyuan 上員 - Ronghua 榮華 - Zhudong 竹東 - Hengshan 橫山 - Jiuzantou 九讚頭 - Hexing 合興 - Fugui 富貴 - Neiwan 內灣
Hsinchu 新竹
Sanxingqiao 三姓橋
Xiangshan 香山
Qiding 崎頂
Zhunan 竹南 - Tanwen 談文 - Dashan 大山 - Houlong 後龍 - Longgang 龍港 - Baishatun 白沙屯 - Xinpu 新埔 - Tongxiao 通霄 - Yuanli 苑裡 - Rinan 日南 - Dajia 大甲 - Taichung Port 臺中港 - Qingshui 清水 - Shalu 沙鹿 - Longjing 龍井 - Dadu 大肚 - Zhuifen 追分 - Chenggong 成功
Zaoqiao 造橋
Fengfu 豐富
Miaoli 苗栗
Nanshi 南勢
Tongluo 銅鑼
Sanyi 三義
Taian 泰安
Houli 后里
Fengyuan 豐原
Tanzi 潭子
Taiyuan 太原
Taichung 臺中
Daqing 大慶
Wuri 烏日
Xinwuri 新烏日
Chenggong 成功 - Zhuifen 追分 - Dadu 大肚 - Longjing 龍井 - Shalu 沙鹿 - Qingshui 清水 - Taichung Port 臺中港 - Dajia 大甲 - Rinan 日南 - Yuanli 苑裡 - Tongxiao 通霄 - Xinpu 新埔 - Baishatun 白沙屯 - Longgang 龍港 - Houlong 後龍 - Dashan 大山 - Tanwen 談文 - Zhunan 竹南
Changhua 彰化
Huatan 花壇
Dacun 大村
Yuanlin 員林
Yongjing 永靖
Shetou 社頭
Tianzhong 田中
Ershui 二水 - Yuanquan 源泉 - Zhuoshui 濁水 - Longquan 龍泉 - Jiji 集集 - Shuili 水里 - Checheng 車埕
Linnei 林內
Shiliu 石榴
Douliu 斗六
Dounan 斗南
Shigui 石龜
Dalin 大林
Minxiong 民雄
Jiabei 嘉北
Chiayi 嘉義
Shuishang 水上
Nanjing 南靖
Houbi 後壁
Xinying 新營
Liuying 柳營
Linfengying 林鳳營
Longtian 隆田
Balin 拔林
Shanhua 善化
Nanke 南科
Xinshi 新市
Yongkang 永康
Daqiao 大橋
Tainan 臺南
Baoan 保安
Rende 仁德
Zhongzhou 中洲 - Chang Jung Christian University 長榮大學 - Shalun 沙崙
Dahu 大湖
Luzhu 路竹
Gangshan 岡山
Qiaotou 橋頭
Nanzi 楠梓
Xinzuoying 新左營
Zuoying 左營
Kaohsiung 高雄
Fengshan 鳳山
Houzhuang 後庄
Jiuqutang 九曲堂
Liukuaicuo 六塊厝
Pingtung 屏東
Guilai 歸來
Linluo 麟洛
Xishi 西勢
Zhutian 竹田
Chaozhou 潮州
Kanding 崁頂
Nanzhou 南州
Zhenan 鎮安
Linbian 林邊
Jiadong 佳冬
Donghai 東海
Fangliao 枋寮
Jialu 加祿
Neishi 內獅
Fangshan 枋山
Guzhuang 古莊
Dawu 大武
Longxi 瀧溪
Jinlun 金崙
Taimali 太麻里
Zhiben 知本
Kangle 康樂
Taitung 臺東
Shanli 山里
Luye 鹿野
Ruiyuan 瑞源
Ruihe 瑞和
Guanshan 關山
Haiduan 海端
Chishang 池上
Fuli 富里
Dongzhu 東竹
Dongli 東里
Yuli 玉里
Sanmin 三民
Ruisui 瑞穗
Fuyuan 富源
Dafu 大富
Guangfu 光復
Wanrong 萬榮
Fenglin 鳳林
Nanping 南平
Fengtian 豐田
Shoufeng 壽豐
Pinghe 平和
Zhixue 志學
Jian 吉安
Hualien 花蓮
Beipu 北埔
Jingmei 景美
Xincheng 新城
Chongde 崇德
Heren 和仁
Heping 和平
Hanben 漢本
Wuta 武塔
Nanao 南澳
Dongao 東澳
Yongle 永樂
Suaoxin 蘇澳新 - Suao 蘇澳
Xinma 新馬
Dongshan 冬山
Luodong 羅東
Zhongli 中里
Erjie 二結
Yilan 宜蘭
Sicheng 四城
Jiaoxi 礁溪
Dingpu 頂埔
Toucheng 頭城
Waiao 外澳
Guishan 龜山
Daxi 大溪
Dali 大里
Shicheng 石城
Fulong 福隆
Gongliao 貢寮
Shuangxi 雙溪
Mudan 牡丹
Sandiaoling 三貂嶺 - Dahua 大華 - Shifen 十分 - Wanggu 望古 - Lingjiao 嶺腳 - Pingxi 平溪 - Jingtong 菁桐
Houtong 猴硐
Ruifang 瑞芳 - NMMST 海科館
Sijiaoting 四腳亭
Nuannuan 暖暖
